"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","DQ Score"
"451221","Disney Princess 2 Sheet 2 Tag","Disney","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 10 x 6.5cm",NA,0.941666666666667
"410972","Disney Frozen Roll Wrap 4m","Disney Frozen","Gift Wrap","Multi","1","4m x 69cm",NA,0.941666666666667
"453513","Emoji Wrap 2 Sheet 2 Tag","Emoji","Gift Wrap","Multi","1",NA,NA,0.883333333333333
"410970","Marvel Roll Wrap 2m","Marvel","Gift Wrap","Multi","1","2m x 69cm",NA,0.941666666666667
"410971","Marvel Gift Wrap 2 Sheet 2 Tag","Marvel","Gift Wrap",NA,"2","Sheet 50 x 70cm Tag 7.3 x 7.3cm",NA,0.883333333333333
"410964","Despicable Me Roll Wrap","Minions","Gift Wrap","Multi","1",NA,NA,0.783333333333333
"449644","My Little Pony Roll Wrap 2m","My Little Pony","Gift Wrap","Multi","1","200 x 70cm",NA,0.941666666666667
"449646","My Little Pony Gift Bag Large","My Little Pony","Gift Bag","Multi","1","26 x 33cm",NA,0.941666666666667
"449645","Paw Patrol Gift Bag Large","Paw Patrol","Gift Bag","Multi","1","26 x 33cm",NA,0.941666666666667
"449647","Shopkins Wrap 2 Sheet 2 Tag","Shopkins","Gift Wrap","Multi","1","70 x 50cm",NA,0.941666666666667
"209659","Wilko Tissue Paper 10 Sheets 50 x 66cm","Wilko","Decorative Tissue","White","10s","50x66cm",NA,0.941666666666667
"209778","Wilko Gift Bag Foil/ Holographic Large","Wilko","Gift Bag","Multi",NA,"Large",NA,0.883333333333333
"209863","Wilko Gift Bag Foil Holographic Medium","Wilko","Gift Bag","Multi",NA,"Medium",NA,0.883333333333333
"337945","Wilko Butterfly Gift Bag Medium","Wilko","Gift Bag",NA,"1","Medium",NA,0.883333333333333
"337952","Wilko Blue Spots Gift Bag Medium","Wilko","Gift Bag","Multi","1","Medium",NA,0.941666666666667
"337958","Wilko Birthday Gift Bag Large","Wilko","Gift Bag","Multi","1","26.5 x 13.5 x 32.7cm",NA,0.941666666666667
"337999","Wilko Tissue Paper Red 6s","Wilko","Decorative Tissue","Red","6s",NA,NA,0.883333333333333
"338000","Wilko Tissue Paper Silver 6s","Wilko","Decorative Tissue ","Silver","6s",NA,NA,0.883333333333333
"338002","Wilko Cello Flat Wrap 2m x 70cm","Wilko","Gift Wrap",NA,"1","2mx70cm",NA,0.883333333333333
"338698","Wilko Butterfly 2 Sheets 2 Tags","Wilko","Gift Wrap","Pink","2","Sheet 50 x 70cm Tag 8.5 x 10.7cm",NA,0.941666666666667
"338731","Wilko Blue Happy Birthday Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Blue","2","Sheet 50 x 70cm Tag 5.8 x 5.8cm",NA,0.941666666666667
"338749","Wilko Polka Dot Blue Roll Wrap 2m","Wilko","Gift Wrap","Multi","1","2m",NA,0.941666666666667
"338754","Wilko Party Birthday Roll Wrap 2m","Wilko","Gift Wrap","Multi","1","2m",NA,0.941666666666667
"348765","Giftwrap Hip Hip Hooray 2 Sheets 2 Tags","Wilko","Gift Wrap","Brown","2","Sheet 50 x 70cm Tag 6 x 7.7cm",NA,0.891666666666667
"349994","Wilko Bang Gift Bag Medium","Wilko","Gift Bag","Multi","1","21.5 x 10.0 x 24.5cm",NA,0.941666666666667
"350370","Wilko Butterfly Roll Wrap 2m","Wilko","Gift Wrap","Multi",NA,"2m",NA,0.883333333333333
"350377","Wilko Loved Up/Hitched Roll Wrap 2m","Wilko","Gift Wrap","Multi",NA,"2m",NA,0.883333333333333
"350618","Wilko Bang Giftwrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.0 x 9.5cm",NA,0.941666666666667
"410603","Wilko Happy Birthday Roll Wrap 2m","Wilko","Gift Wrap","Green","2",NA,NA,0.883333333333333
"410604","Wilko Glitter Roll Wrap Pink 1.5m","Wilko","Gift Wrap","Pink","1",NA,NA,0.883333333333333
"410605","Wilko Bright Stripe Roll Wrap 2m","Wilko","Gift Wrap","Multi","1",NA,NA,0.883333333333333
"410606","Wilko Cupcake Rollwrap 2m","Wilko","Gift Wrap","Multi","1",NA,NA,0.883333333333333
"410609","Wilko Pirates Roll Wrap 2m","Wilko","Gift Wrap","Multi","1",NA,NA,0.883333333333333
"410616","Wilko Cupcake Shaped Gift Bag Large","Wilko","Gift Bag",NA,"1",NA,NA,0.825
"410984","Wilko Selfie Polka Dot Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.0 x 7.0cm",NA,0.941666666666667
"410987","Wilko Pink Happy Birthday Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Pink","2","Sheet 50 x 70cm Tag 5.8 x 5.8cm",NA,0.941666666666667
"420206","Wilko Flat Wrap Lovely Day 2 Sheets 2 Tags","Wilko","Gift Wrap","Multi","2","50 X 70cm",NA,0.941666666666667
"420209","Wilko Gift Bag Pink Candles Kraft Medium","Wilko","Gift Bag","Multi","1","21.5 x 10.0 x 25.4cm",NA,0.941666666666667
"420313","Wilko Tissue Pack Pink and Polka Dot","Wilko","Decorative Tissue","Multi","5","50x66cm",NA,0.941666666666667
"420314","Wilko Tissue Pack Blue and Polka Dot","Wilko","Decorative Tissue","Blue","5pk","50x66cm",NA,0.941666666666667
"420315","Wilko Flat Owl Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.2 x 6.4cm",NA,0.941666666666667
"420318","Wilko Special Wishes Gift Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.4 x 7.0cm",NA,0.941666666666667
"420319","Wilko Owl Gift Bag Medium","Wilko","Gift Bag","Multi","1","21.5 x 10.0 x 25.4cm",NA,0.941666666666667
"430021","Wilko Reminisce Stripe Roll Wrap 2m","Wilko","Gift Wrap",NA,"1","2m x 69cm",NA,0.883333333333333
"430022","Wilko Craft Stars Roll Wrap 2m","Wilko","Gift Wrap",NA,"1","2m x 69cm",NA,0.883333333333333
"430023","Wilko Techno Happy Birthday Roll Wrap 2m","Wilko","Gift Wrap",NA,"1","2m x 69cm",NA,0.883333333333333
"430024","Wilko Reminisce Holographic Spot Roll Wrap 2m","Wilko","Gift Wrap",NA,"1","2m x 69cm",NA,0.883333333333333
"430115","Wilko Birthday Parcels Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.0 x 7.0cm",NA,0.941666666666667
"430116","Wilko New Baby 2 Sheets 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 9.0 x 8.0cm",NA,0.941666666666667
"430120","Wilko Pink Watercoloured Spot Medium Bag","Wilko","Gift Bag","Multi","1","21.5 x 25.3cm",NA,0.941666666666667
"430303","Wilko Floral Just For You 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430304","Wilko Sarfari Animals 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430305","Wilko Wedding 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430306","Wilko Balloons 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430307","Wilko Blue/Silver PolkaDot 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430308","Wilko Blue Geographic 2 Sheets 2 Tag","Wilko","Gift Wrap","Blue","2","Sheet 50 x 70cm Tag 9 x 5cm",NA,0.941666666666667
"430309","Wilko Pink Cupcakes 2 Sheets 2 Tag","Wilko","Gift Wrap",NA,"2","Sheet size 50cm x 70cm, Tag size 6cm c 7.7cm",NA,0.883333333333333
"430311","Wilko Medium Gift Bag Pink and Blue","Wilko","Gift Bag",NA,"1","25.4cm x 21.5cm x 10cm",NA,0.93
"430312","Wilko Medium Gift Bag White and Silver","Wilko","Gift Bag",NA,"1","25.4cm x 21.5cm x 10cm",NA,0.93
"430313","Wilko Dotted Gift Bag Medium","Wilko","Gift Bag",NA,"1","25.4cm x 21.5cm x 10cm",NA,0.93
"430314","Wilko Spot Gift Bag Small Blue","Wilko","Gift Bag",NA,"1","14.8cm x 12.7cm x 90cm",NA,0.93
"430315","Wilko Foil Spot Bottle Bag Assorted","Wilko","Gift Bag",NA,"1","35.4cm x 12.5cm x 90cm",NA,0.93
"430316","Wilko Photographic Rose Gift Bag Large","Wilko","Gift Bag",NA,"1","26.5cm x 33cm x 135cm",NA,0.93
"430317","Wilko Floral With Love Gift Bag Medium","Wilko","Gift Bag",NA,"1","25.4cm x 21.5cm x 10cm",NA,0.93
"430318","Wilko Polka Dot Roll Wrap Purple","Wilko","Gift Wrap",NA,"1","2M x 70cm",NA,0.883333333333333
"430319","Wilko Roll Wrap 2m Blue","Wilko","Gift Wrap",NA,"1","2M x 70cm",NA,0.883333333333333
"430321","Wilko Spot Roll Wrap Multicolour","Wilko","Gift Wrap",NA,"1","2M x 70cm",NA,0.883333333333333
"430322","Wilko Ribbon and Bow Pack Silver Foil","Wilko","Gift Wrap",NA,"2","Bow 8cm Diametre & Cop 8m x 5mm",NA,0.883333333333333
"430323","Wilko Ribbon and Bow Pack Pink Foil","Wilko","Gift Wrap Accessories",NA,"2","Bow 8cm Diametre & Cop 8m x 5mm",NA,0.883333333333333
"430324","Wilko Ribbon and Bow Pack Red Foil","Wilko","Gift Wrap Accessories",NA,"2","Bow 8cm Diametre & Cop 8m x 5mm",NA,0.883333333333333
"430325","Wilko Ribbon and Bow Pack Blue Foil","Wilko","Gift Wrap Accessories",NA,"2","Bow 8cm Diametre & Cop 8m x 5mm",NA,0.883333333333333
"430326","Wilko Kraft and White Tags 2pk","Wilko","Gift Wrap Accessories",NA,"2","10cm x 6cm",NA,0.883333333333333
"430327","Wilko Foil Tags Pink and Silver 2pk","Wilko","Gift Wrap Accessories",NA,"2","10cm x 6cm",NA,0.883333333333333
"430328","Wilko Foil Tags Blue and Silver 2pk","Wilko","Gift Wrap Accessories",NA,"2","10cm x 6cm",NA,0.883333333333333
"430329","Wilko Foil Bow Blue Large","Wilko","Gift Wrap Accessories",NA,"1","12cm Diametre",NA,0.883333333333333
"430330","Wilko Foil Bow Pink Large","Wilko","Gift Wrap Accessories",NA,"1","12cm Diametre",NA,0.883333333333333
"430331","Wilko Foil Bow Silver Large","Wilko","Gift Wrap Accessories",NA,"1","12cm Diametre",NA,0.883333333333333
"430332","Wilko Craft Spot Gift Bag Medium Blue","Wilko","Gift Bag",NA,"1","25.4cm x 21.5cm x 10cm",NA,0.93
"449604","Wilko Flamingo Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Blue","2","Sheet 50 x 70cm Tag 10 x 3.0cm",NA,0.941666666666667
"449605","Wilko Block Grey Medium Gift Bag","Wilko","Gift Bag","Grey","1","21.5 x 10.0 x 25.4cm",NA,0.941666666666667
"449606","Wilko Ombre Bottle Bag","Wilko","Bottle Gift Bags","Multi","1","35.4 x 9.0 x 12.5cm",NA,0.941666666666667
"449607","Wilko Unicorn Large Gift Bag","Wilko","Gift Bag","Multi","1","33 x 26.5 x 14cm",NA,0.941666666666667
"449608","Wilko Flamingo Medium Gift Bag","Wilko","Gift Bag","Pink","1","21.5 x 10.0 x 25.4cm",NA,0.941666666666667
"449609","Wilko Dino Medium Gift Bag","Wilko","Gift Bag","Multi","1","25.5 x 21.5 x 10cm",NA,0.941666666666667
"449611","Wilko Surprise Surprise Medium Gift Bag","Wilko","Gift Bag","White","1","21.5 x 10.0 x 25.4cm",NA,0.941666666666667
"449612","Wilko Geo Medium Gift Bag","Wilko","Gift Bag","Multi","1","25.5 x 21.5 x 10cm",NA,0.941666666666667
"449618","Wilko Silver Glitter Roll Wrap","Wilko","Gift Wrap","Silver","1","1.5m x 70cm",NA,0.941666666666667
"449620","Wilko Bronze Kraft Roll 2m","Wilko","Gift Wrap","Metal","1","2m x 69cm",NA,0.941666666666667
"449621","Wilko Pink Dotty Roll Wrap 2m","Wilko","Gift Wrap","Multi","1","2m x 69cm",NA,0.941666666666667
"449622","Wilko Coral Spot Roll Wrap 2m","Wilko","Gift Wrap","Multi","1","2m x 69cm",NA,0.941666666666667
"449626","Wilko Blue and Grey Geo Roll Wrap 2m","Wilko","Gift Wrap","Multi","1","2m x 69cm",NA,0.941666666666667
"451217","Wilko Stars Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 7.0 x 7.0cm",NA,0.941666666666667
"451218","Wilko Male Design Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Black","2","Sheet 50 x 70cm Tag 6 x 6cm",NA,0.941666666666667
"451219","Wilko Dinos Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Multi","2","Sheet 50 x 70cm Tag 6 x 7.7cm",NA,0.941666666666667
"451220","Wilko Male Design Wrap 2 Sheet 2 Tag","Wilko","Gift Wrap","Blue","2","Sheet 50 x 70cm Tag 8 x 8cm",NA,0.941666666666667
"451222","Wilko New Bottle Gift Bag","Wilko","Bottle Gift Bags","Multi","1","35.5 x 12.7 x 9cm",NA,0.941666666666667
