"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"DEC","PRP","182560","Wilko Cellulose Thinners 125ml","Wilko","125ml",NA,NA,NA,NA,NA,0.8
"DEC","WOO","241848","Wilko Scratch Cover and Polish Dark Wood 125ml","Wilko","125ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","252295","Wilko Danish Oil 1ltr","Wilko","1L",NA,NA,NA,NA,"14m²",0.883333333333333
"DEC","WOO","252296","Wilko Scratch Cover and Polish Medium Wood 125ml","Wilko","125ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","315774","Wilko Traditional Wood Dye Interior Antique Pine 250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315775","Wilko Traditional Wood Dye Interior Georgian Medium Oak 250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315776","Wilko Traditional Wood Dye Interior Dark Mahogany250ml","Wilko","250ml",NA,"1",NA,NA,"9.25m²",0.941666666666667
"DEC","WOO","315907","Wilko Traditional Wood Dye Interior Indian Redwood250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315908","Wilko Traditional Wood Dye Interior Jacobean DarkOak 250ml","Wilko","250ml",NA,"1",NA,NA,"9.25m²",0.941666666666667
"DEC","WOO","65151","Wilko Danish Oil 250ml","Wilko","250ml",NA,NA,NA,NA,"3.5m²",0.883333333333333
"GAR","WOO","125818","Wilko Timbercare Woodland Green 5L","Wilko","5L","Green","1",NA,NA,"20m²",1
"GAR","WOO","210403","Wilko Decking Protector Clear 2.5L","Wilko","2.5L","Clear","1",NA,NA,NA,0.941666666666667
"GAR","WOO","74038","Wilko Timbercare Country Brown 5L","Wilko","5L","Brown","1",NA,NA,"20m²",1
"GAR","WOO","74039","Wilko Timbercare Red Cedar 5L","Wilko","5L","Red","1",NA,NA,"20m²",1
"GAR","WOO","74040","Wilko Timbercare Dark Oak 5L","Wilko","5L","Brown","1",NA,NA,"20m²",1
"PAI","EXT","188995","Wilko Matt Brick and Tile PaintRed 1L","Wilko","1L","Red","1",NA,NA,"14m²",1
"PAI","EXT","189005","Wilko Matt Brick and Tile PaintRed 500ml","Wilko","500ml","Red",NA,NA,NA,"7m²",0.941666666666667
"PAI","EXT","189095","Wilko Step and Tile Gloss PaintRed 1L","Wilko","1L","Red","1",NA,NA,"14m²",1
"PAI","EXT","189096","Wilko Step and Tile Gloss PaintRed 500ml","Wilko","500ml","Red",NA,NA,NA,"7m²",0.941666666666667
"PAI","EXT","189101","Wilko Red Oxide Metal PrimerRed 500ml","Wilko","500ml","Red",NA,"No",NA,"6m²",0.65
"PAI","GLO","188977","Wilko Quick Dry Stain BlockerWhite 750ml","Wilko","750ml","White","1",NA,NA,"9mandsup2;",1
"PAI","GLO","188978","Wilko Quick Dry MDF SealerClear 500ml","Wilko","500ml","Clear","1","No",NA,NA,0.65
"PAI","INT","188981","Wilko Radiator Enamel Satin PaintWhite 250ml","Wilko","250ml","White","1","No",NA,NA,0.65
"PAI","INT","188982","Wilko Radiator Enamel Gloss PaintWhite 500ml","Wilko","500ml","White",NA,"No",NA,"6m²",0.65
"PAI","INT","188984","Wilko Radiator Enamel Gloss PaintWhite 250ml","Wilko","250ml","White","1","No",NA,"3m²",0.65
"PAI","INT","188991","Wilko Radiator Enamel Quick Dry Satin PaintWhite 250ml","Wilko","250ml","White",NA,"No",NA,"3m²",0.65
"PAI","INT","188992","Wilko Radiator Enamel Quick Dry Gloss PaintWhite 500ml","Wilko","500ml","White",NA,"No",NA,"6m²",0.65
"PAI","INT","188993","Wilko Radiator Enamel Quick Dry Gloss PaintWhite 250ml","Wilko","250ml","White",NA,"No",NA,"3m²",0.65
"PAI","INT","189006","Wilko Quick Dry Satin PaintBlack 500ml","Wilko","500ml","Black","1","No",NA,"6m²",0.65
"PAI","INT","189007","Wilko Quick Dry Satin PaintBlack 250ml","Wilko","250ml","Black","1","No",NA,"3m²",0.65
"PAI","INT","189008","Wilko Quick Dry Matt PaintBlack 1L","Wilko","1L","Black",NA,"No",NA,"12m²",0.65
"PAI","INT","189009","Wilko Quick Dry Matt PaintBlack 500ml","Wilko","500ml","Black",NA,"No",NA,"6m²",0.65
"PAI","INT","189010","Wilko Quick Dry Matt PaintBlack 250ml","Wilko","250ml","Black","1","No",NA,"3m²",0.65
"PAI","INT","189011","Wilko Quick Dry Matt Blackboard PaintBlack 250ml","Wilko","250ml","Black","1","No",NA,"3m²",0.65
"PAI","INT","189012","Wilko Quick Dry Matt Blackboard PaintBlack 500ml","Wilko","500ml","Black","1","No",NA,"6m²",0.65
"PAI","INT","341900","Wilko Glitter PaintGold 250ml","Wilko","250ml","Orange",NA,"No",NA,"3.5sq m",0.65
"PAI","INT","341904","Wilko Glitter PaintSilver 250ml","Wilko","250ml","Silver",NA,"No",NA,NA,0.65
"PAI","INT","341905","Wilko Glitter PaintMulti-Colour 250ml","Wilko","250ml","Multi",NA,"No",NA,NA,0.65
"PAI","INT","341906","Wilko Metallic PaintGold 250ml","Wilko","250ml","Orange",NA,"No",NA,NA,0.65
"PAI","INT","341907","Wilko Metallic PaintSilver 250ml","Wilko","250ml","Silver",NA,"No",NA,"3.5sq m",0.65
"PAI","INT","341908","Wilko Metallic PaintBronze 250ml","Wilko","250ml","Orange",NA,"No",NA,NA,0.65
"PAI","INT","341909","Wilko Step and Tile Gloss PaintBlack 500ml","Wilko","500ml","Black","1",NA,NA,NA,0.941666666666667
"PAI","INT","341910","Wilko Quick Dry Satin Furniture and Cupboard PaintWhite 750ml","Wilko","750ml","White","1","No",NA,"6sq m",0.65
"PAI","INT","341911","Wilko Quick Dry Satin Furniture and Cupboard PaintBlack 750ml","Wilko","750ml","Black","1","No",NA,NA,0.65
"PAI","INT","341912","Wilko Quick Dry Satin Furniture and Cupboard PaintMineral Stone 750ml","Wilko","750ml","Grey",NA,"No",NA,NA,0.65
"PAI","INT","341957","Wilko Quick Dry Satin Furniture and Cupboard PaintDuck Egg 750ml","Wilko","750ml","Blue",NA,"No",NA,NA,0.65
"PAI","INT","341958","Wilko Quick Dry Satin Furniture and Cupboard PaintIvory Tusk 750ml","Wilko","750ml","Cream",NA,"No",NA,NA,0.65
"PAI","INT","341959","Wilko Quick Dry Satin Furniture and Cupboard PaintCrushed Almond 750ml","Wilko","750ml","Cream",NA,"No",NA,NA,0.65
"PAI","INT","341960","Wilko Quick Dry Satin Furniture and Cupboard PaintSandstone 750ml","Wilko","750ml","Cream",NA,"No",NA,NA,0.65
"PAI","INT","341964","Wilko Quick Dry Floor PaintGranite 750ml","Wilko","750ml","Grey",NA,"No",NA,NA,0.65
"PAI","INT","341965","Wilko Quick Dry Floor PaintBlack 750ml","Wilko","750ml","Black",NA,"No",NA,NA,0.65
"PAI","INT","341994","Wilko Quick Dry Floor PaintNorfolk Sands 750ml","Wilko","750ml","Yellow",NA,"No",NA,NA,0.65
"PAI","INT","341995","Wilko Quick Dry Floor PaintTile Red 750ml","Wilko","750ml","Red","1","No",NA,NA,0.65
"PAI","INT","341996","Wilko One Coat Tile PaintWhite 750ml","Wilko","750ml","White",NA,"No",NA,"6sq m",0.65
"PAI","INT","341997","Wilko One Coat Tile PaintBlack 750ml","Wilko","750ml","Black",NA,"No",NA,NA,0.65
"PAI","INT","341999","Wilko One Coat Tile PaintFlint 750ml","Wilko","750ml","Grey",NA,"No",NA,NA,0.65
"PAI","INT","342001","Wilko One Coat Tile PaintAhoy 750ml","Wilko","750ml","Cream",NA,"No",NA,NA,0.65
"PAI","INT","342003","Wilko Concrete SealerClear 2.5L","Wilko","2.5L","Clear","1","No",NA,"20sq m",0.65
"PAI","INT","342004","Wilko Garage Floor PaintGrey 2.5L","Wilko","2.5L","Grey",NA,NA,NA,"30sq m",0.941666666666667
"PAI","INT","342015","Wilko Garage Floor PaintRed 2.5L","Wilko","2.5L","Red",NA,NA,NA,NA,0.883333333333333
"PAI","INT","342143","Wilko Multi Surface Furniture and Cupboard PrimerWhite 750ml","Wilko","750ml","White",NA,"No",NA,NA,0.65
"PAI","INT","449400","Wilko Furniture and Cupboard Paint Slate Grey 750ml","Wilko","750ml","Grey","1",NA,NA,"6m²",1
"PAI","INT","449401","Wilko Furniture and Cupboard Paint English Sage 750ml","Wilko","750ml","Green","1",NA,NA,"6m²",1
"PAI","INT","449402","Wilko Tile Paint Summer Tide 750ml","Wilko","750ml","Blue","1","No","750ml","6m²",0.65
"PAI","INT","449403","Wilko Tile Paint Pale Grey 750ml","Wilko","750ml","Grey","1","No","750ml","6m²",0.65
